,backend,bandwidth,beam,beam_rotation_angle,beam_semi_major_axis,beam_semi_minor_axis,bits_per_sample,centre_frequency,channel_bandwidth,circular_poln_frac,circular_poln_frac_error,circular_poln_frac_frmt,circular_poln_frac_frmt_err,count,dec,decj,dispersion_smearing,dm,dm_error,dm_frmt,dm_frmt_err,dm_index,dm_index_error,dm_index_frmt,dm_index_frmt_err,fluence,fluence_error_lower,fluence_error_upper,fluence_frmt,fluence_frmt_err_down,fluence_frmt_err_up,flux,flux_error_lower,flux_error_upper,flux_frmt,flux_frmt_err_down,flux_frmt_err_up,frb_name,gain,galactic_electron_model,gb,gl,linear_poln_frac,linear_poln_frac_error,linear_poln_frac_frmt,linear_poln_frac_frmt_err,mw_dm_limit,notes_author_x,notes_author_y,notes_last_modified_x,notes_last_modified_y,notes_note_x,notes_note_y,npol,o_data_link,pub_description,pub_link,pub_reference,pub_type,ra,raj,receiver,redshift_host,redshift_inferred,rm,rm_error,sampling_time,scattering,scattering_error,scattering_frmt,scattering_frmt_err,scattering_index,scattering_index_error,scattering_index_frmt,scattering_index_frmt_err,scattering_model,scattering_timescale,snr,snr_frmt,spectral_index,spectral_index_error,spectral_index_frmt,spectral_index_frmt_err,telescope,tsys,type,unnamed: 0,utc,width,width_error_lower,width_error_upper,width_frmt,width_frmt_err_down,width_frmt_err_up,rate,n_bursts,exposure
195,,400.0,,90.0,15.0,14.0,,600.0,0.0244140625,,,,,46,46.96666666666667,+46:58:00,,579.9,0.2,579.9,0.2,,,,,1.4,0.6000000000000001,0.6000000000000001,1.4,-0.6,0.6,0.4,0.2,0.2,0.4,-0.2,0.2,FRB190208.J1855+46,,NE2001,19.701213667451256,77.476463999709,,,,,72.0,,,,,,,2.0,,,,,,283.75,18:55:00,,,,,,0.98304,,,,,,,,,,,0.0,0.0,,,,,chime,,repeater,195,2019-02-08 17:41:42.300,0.91,0.16,0.16,0.91,-0.16,0.16,0.1,2.0,20.0
198,,400.0,,90.0,16.0,8.0,,600.0,0.0244140625,,,,,44,77.66666666666667,77:40:00,,425.2,0.5,425.2,0.5,,,,,0.5,0.30000000000000004,0.30000000000000004,0.5,-0.3,0.3,,,,,,,FRB190209.J0937+77,,NE2001,34.61165918392033,135.3755282254331,,,,,46.0,,,,,,,2.0,,CHIME/FRB Detection of Eight New Repeating Fast Radio Burst Sources,https://ui.adsabs.harvard.edu/abs/2019arXiv190803507A/abstract,CHIME/FRB Collaboration et al. 2019 ApJ Letters submitted,Peer reviewed publication,144.25,09:37:00,,,,,,1.0,,,,,,,,,,,0.0,0.0,,,,,chime,,one-off,198,2019-02-10 08:17:13.907,9.4,1.4,1.4,9.4,-1.4,1.4,0.06451612903225806,2.0,31.0
199,,400.0,,90.0,20.0,16.0,,600.0,0.0244140625,,,,,40,20.066666666666666,+20:04:00,,651.1,0.4,651.1,0.4,,,,,0.6000000000000001,0.30000000000000004,0.30000000000000004,0.6,-0.3,0.3,,,,,,,FRB190212.J02+20,,NE2001,-39.204399877989545,147.66287990007547,,,,,43.0,,,,,,,2.0,,,,,,33.5,02:14:00,,,,,,0.98304,,,,,,,,,,,0.0,0.0,,,,,chime,,repeater,199,2019-02-12 00:42:17.295,10.0,2.0,2.0,10.0,-2.0,2.0,0.11764705882352941,2.0,17.0
172,,400.0,,0.0,15.0,10.0,,600.0,0.0244140625,,,,,46,81.43333333333334,+81:26:00,,301.7,0.30000000000000004,301.7,0.3,,,,,3.0,1.5,1.5,3.0,-1.5,1.5,0.4,0.30000000000000004,0.30000000000000004,0.4,-0.3,0.3,FRB181017.J18+81,,NE2001,28.00819710836724,114.31662035342995,,,,,49.0,,,,,,,2.0,,,,,,276.0,18:24:00,,,,,,0.98304,,,,,,,,,,,0.0,0.0,,,,,chime,,repeater,172,2019-02-12 16:17:19.174,4.1,1.6,1.6,4.1,-1.6,1.6,0.028037383177570093,3.0,107.0
171,,400.0,,0.0,12.0,12.0,,600.0,0.0244140625,,,,,44,68.28333333333333,68:17:00,,1281.0,0.6000000000000001,1281.0,0.6,,,,,16.0,5.0,5.0,16.0,-5.0,5.0,,,,,,,FRB181017.J1705+68,,NE2001,35.275519773285275,100.30964068179398,,,,,43.0,,,,,,,2.0,,CHIME/FRB Detection of Eight New Repeating Fast Radio Burst Sources,https://ui.adsabs.harvard.edu/abs/2019arXiv190803507A/abstract,CHIME/FRB Collaboration et al. 2019 ApJ Letters submitted,Peer reviewed publication,256.25,17:05:00,,,,,,1.0,,,,,,,,,,,0.0,0.0,,,,,chime,,one-off,171,2019-02-16 15:26:58.029,20.2,1.7000000000000002,1.7000000000000002,20.2,-1.7,1.7,0.1,2.0,20.0
202,,400.0,,90.0,11.0,10.0,,600.0,0.0244140625,,,,,44,69.83333333333333,69:50:00,,459.8,0.4,459.8,0.4,,,,,3.4,1.3,1.3,3.4,-1.3,1.3,,,,,,,FRB190222.J2052+69,,NE2001,16.24769518557987,105.60723520790452,,,,,87.0,,,,,,,2.0,,CHIME/FRB Detection of Eight New Repeating Fast Radio Burst Sources,https://ui.adsabs.harvard.edu/abs/2019arXiv190803507A/abstract,CHIME/FRB Collaboration et al. 2019 ApJ Letters submitted,Peer reviewed publication,313.0,20:52:00,,,,,,1.0,,,,,,,,,,,0.0,0.0,,,,,chime,,one-off,202,2019-03-01 18:03:02.479,2.44,0.8,0.8,2.44,-0.8,0.8,0.1,2.0,20.0
185,,400.0,,90.0,15.0,14.0,,600.0,0.0244140625,,,,,46,48.25,+48:15:00,,221.8,0.5,221.8,0.5,,,,,2.3,0.9,0.9,2.3,-0.9,0.9,0.5,0.30000000000000004,0.30000000000000004,0.5,-0.3,0.3,FRB190110.J1353+48,,NE2001,66.18584789451403,100.17305567776108,,,,,29.0,,,,,,,2.0,,,,,,208.25,13:53:00,,,,,,0.98304,,,,,,,,,,,0.0,0.0,,,,,chime,,repeater,185,2019-03-03 11:05:13.695,2.0,0.30000000000000004,0.30000000000000004,2.0,-0.3,0.3,0.13043478260869565,3.0,23.0
180,,400.0,,90.0,9.0,3.0,,600.0,0.0244140625,,,,,44,65.13333333333334,65:08:00,,364.2,0.6000000000000001,364.2,0.6,,,,,1.0,0.5,0.5,1.0,-0.5,0.5,,,,,,,FRB181119.J12+65,,NE2001,51.925887860564934,126.39240972730633,,,,,34.0,,,,,,,2.0,,CHIME/FRB Detection of Eight New Repeating Fast Radio Burst Sources,https://ui.adsabs.harvard.edu/abs/2019arXiv190803507A/abstract,CHIME/FRB Collaboration et al. 2019 ApJ Letters submitted,Peer reviewed publication,190.5,12:42:00,,,,,,1.0,,,,,,,,,,,0.0,0.0,,,,,chime,,one-off,180,2019-03-13 09:21:46.725,1.5,0.2,0.2,1.5,-0.2,0.2,0.15789473684210525,3.0,19.0
204,,400.0,,90.0,16.0,13.0,,600.0,0.0244140625,,,,,46,59.4,+59:24:00,,1378.1,0.2,1378.1,0.2,,,,,4.4,0.8,0.8,4.4,-0.8,0.8,0.5,0.2,0.2,0.5,-0.2,0.2,FRB190417.J1939+59,,NE2001,17.988866298065897,92.19632901635147,,,,,78.0,,,,,,,2.0,,,,,,294.75,19:39:00,,,,,,0.98304,,,,,,,,,,,0.0,0.0,,,,,chime,,repeater,204,2019-04-17 13:55:44.814,3.3,0.9,0.9,3.3,-0.9,0.9,0.10344827586206896,3.0,29.0
186,,400.0,,90.0,15.0,14.0,,600.0,0.0244140625,,,,,46,48.25,+48:15:00,,223.5,0.30000000000000004,223.5,0.3,,,,,2.0,0.5,0.5,2.0,-0.5,0.5,0.4,0.2,0.2,0.4,-0.2,0.2,FRB190110.J1353+48,,NE2001,66.18584789451403,100.17305567776108,,,,,29.0,,,,,,,2.0,,,,,,208.25,13:53:00,,,,,,0.98304,,,,,,,,,,,0.0,0.0,,,,,chime,,repeater,186,2019-04-21 08:00:07.261,3.1,0.30000000000000004,0.30000000000000004,3.1,-0.3,0.3,0.13043478260869565,3.0,23.0
