back_end,barycentric_event_time,burst_bandwidth,burst_width,burst_width_err,decl,decl_err,discovery_date,dm,dm_model,filename,filetype,fluence,fluence_err,flux,flux_err,frac_lin_pol,galactic_max_dm,galactic_max_dm_model,group,host_redshift,inst_bandwidth,internal_name,lastmodified,name,num_channels,num_files,photometry_date,photometry_id,public_webpage,ra,ra_err,ref_freq,region_filename,remarks,repeater_of_objid,reporter_name,reports_id,rm,rm_err,sampling_time,scattering_time,scattering_time_err,snr,telescope,telescope_mode,time_received,tns_id,ra_frac,dec_frac,gl_frac,gb_frac
Clear-,,,,,+65:07:48.00,1.2333333333333 deg,2019-12-02 15:44:29.327,375.26,12.94,,,,,0.0,0.0,,34.19,NE2001,CHIMEFRB,,400.0,63563443,,FRB 20191202A,16384,,2019-12-02 15:44:29.327,514,https://www.chime-frb.ca/repeaters,12:25:52.800,36 arcmin,600.0,,Data from the real-time pipeline L4 header,FRB  20181119A,"A. V. Zwaniga, V. M. Kaspi (McGill University), on behalf of the CHIME/FRB Collaboration",65064,,,0.98304,,,7.55,CHIME,FRB,2020-03-26 17:42:27.000,56412,186.47,65.13,129.10646225164663,51.69014559714019
Clear-,,,,,+48:15:00.00,43 arcmin,2019-11-17 18:18:31.470,226.45,6.47,,,,,0.0,0.0,,29.73,NE2001,CHIMEFRB,,400.0,62551744,,FRB 20191117A,16384,,2019-11-17 18:18:31.470,513,https://www.chime-frb.ca/repeaters,14:02:55.200,30 arcmin,600.0,,Data from the real-time pipeline L4 header,FRB  20190303A,"A. V. Zwaniga, V. M. Kaspi (McGill University), on behalf of the CHIME/FRB Collaboration",65063,,,0.98304,,,12.08,CHIME,FRB,2020-03-26 17:39:19.000,56411,210.73,48.25,96.88430237074928,65.23821446668501
Clear-,,,,,+48:14:24.00,34 arcmin,2019-11-16 18:09:51.184,221.6,1.62,,,,,0.0,0.0,,29.37,NE2001,CHIMEFRB,,400.0,62352548,,FRB 20191116A,16384,,2019-11-16 18:09:51.184,512,https://www.chime-frb.ca/repeaters,13:52:40.800,22 arcmin,600.0,,Data from the real-time pipeline L4 header,FRB  20190303A,"A. V. Zwaniga, V. M. Kaspi (McGill University), on behalf of the CHIME/FRB Collaboration",65062,,,0.98304,,,28.77,CHIME,FRB,2020-03-26 17:39:19.000,56410,208.17,48.24,100.27109273205988,66.22291088343212
Other-,,,3.6,0.5,+65:43:00.31,0 arcsec,2019-11-15 06:12:05.991,349.3,0.2,,,10.2,0.2,1.18,0.06,,200.0,NE2001,FRBCAT,0.0337,100.0,FRB20180916B,,FRB 20191115A,512,,2019-11-15 06:12:05.991,773,,01:58:00.750,0 arcsec,350.0,,GBT detection of FRB20180916B by Chawla et al. (2020),FRB  20180916B,Emily Petroff,79805,,,0.02048,,,11.3,GBT,GUPPI,2020-08-12 09:18:50.000,65019,29.503125,65.71675277777778,130.21163030140505,3.5985199443091433
Clear-,,,,,+48:15:36.00,41 arcmin,2019-11-13 18:12:27.576,226.45,6.47,,,,,0.0,0.0,,29.14,NE2001,CHIMEFRB,,400.0,61749682,,FRB 20191113A,16384,,2019-11-13 18:12:27.576,511,https://www.chime-frb.ca/repeaters,13:43:26.400,28 arcmin,600.0,,Data from the real-time pipeline L4 header,FRB  20190303A,"A. V. Zwaniga, V. M. Kaspi (McGill University), on behalf of the CHIME/FRB Collaboration",65061,,,0.98304,,,13.5,CHIME,FRB,2020-03-26 17:39:19.000,56409,205.86,48.26,103.64998163910116,66.97540811190538
Clear-,,,,,+73:37:48.00,1.8666666666667 deg,2019-11-11 08:55:15.505,184.39,3.23,,,,,0.0,0.0,,91.89,NE2001,CHIMEFRB,,400.0,61388607,,FRB 20191111A,16384,,2019-11-11 08:55:15.505,510,https://www.chime-frb.ca/repeaters,04:03:31.200,32 arcmin,600.0,,Data from the real-time pipeline L4 header,FRB  20180814A,"A. V. Zwaniga, V. M. Kaspi (McGill University), on behalf of the CHIME/FRB Collaboration",65060,,,0.98304,,,12.29,CHIME,FRB,2020-03-26 17:39:19.000,56408,60.88,73.63,136.23073480897986,15.408403560808255
Clear-,,,,,+48:15:00.00,37 arcmin,2019-11-10 18:33:01.523,226.45,6.47,,,,,0.0,0.0,,29.36,NE2001,CHIMEFRB,,400.0,61303573,,FRB 20191110A,16384,,2019-11-10 18:33:01.523,509,https://www.chime-frb.ca/repeaters,13:52:16.800,25 arcmin,600.0,,Data from the real-time pipeline L4 header,FRB  20190303A,"A. V. Zwaniga, V. M. Kaspi (McGill University), on behalf of the CHIME/FRB Collaboration",65059,,,0.98304,,,20.51,CHIME,FRB,2020-03-26 17:39:19.000,56407,208.07,48.25,100.42401555574294,66.25006898114563
Other-,,,0.34,0.02,+31:51:30.00,2.50 arcsec,2019-11-08 19:48:50.471,588.1,0.1,https://wis-tns.weizmann.ac.il/system/files/uploaded/FRBCAT/tns_20191108A_atrep_79774_FRBCAT.png,Graphics,11.0,,27.0,,0.5,52.0,NE2001,FRBCAT,,300.0,FRB191108,2020-08-12 09:08:30.000,FRB 20191108A,4096,3,2019-11-08 19:48:50.471,746,,01:33:47.000,5 arcmin,1370.0,,Dedispersed waterfall plot. Frequency time spectrum below and dedispersed time series above.,,Emily Petroff,79774,474.0,3.0,0.08192,,,103.0,WSRT,Apertif,2020-08-12 09:08:29.000,64991,23.445833333333333,31.858333333333334,133.11956886717638,-30.34630158423198
Other-,,,,,-13:44:15.52,3.25 deg,2019-11-07 18:55:36.700,714.25,,https://wis-tns.weizmann.ac.il/system/files/uploaded/FRBCAT/tns_20191107B_atrep_79773_FRBCAT.png,Graphics,6.7,,0.0,,,127.2,NE2001,FRBCAT,,31.25,FRB191107,2020-08-12 09:08:27.000,FRB 20191107B,40,2,2019-11-07 18:55:36.700,745,,08:01:57.077,40.50 arcsec,835.0,,Dedispersed waterfall plot. Frequency time spectrum below and dedispersed time series above.,,Emily Petroff,79773,,,0.327,,,23.3,MOST,UTMOST,2020-08-12 09:08:26.000,64990,120.48782083333333,-13.737644444444443,-126.22887846046424,7.787129589762694
Clear-,,,,,+73:35:24.00,1.9833333333333 deg,2019-11-07 21:23:07.148,194.1,12.94,,,,,0.0,0.0,,103.35,NE2001,CHIMEFRB,,400.0,60954679,,FRB 20191107A,16384,,2019-11-07 21:23:07.148,508,https://www.chime-frb.ca/repeaters,04:23:24.000,1.0166666666667 deg,600.0,,Data from the real-time pipeline L4 header,FRB  20180814A,"A. V. Zwaniga, V. M. Kaspi (McGill University), on behalf of the CHIME/FRB Collaboration",65058,,,0.98304,,,8.39,CHIME,FRB,2020-03-26 17:39:19.000,56406,65.85,73.58999999999999,137.2993773898276,16.36276049297634
